YYYYMM,DELHI-Thermal,DELHI-Natural Gas,DELHI-Nuclear,DELHI-Hydro,DELHI-Total,HARYANA-Thermal,HARYANA-Natural Gas,HARYANA-Nuclear,HARYANA-Hydro,HARYANA-Total,HIMACHAL PRADESH-Thermal,HIMACHAL PRADESH-Natural Gas,HIMACHAL PRADESH-Nuclear,HIMACHAL PRADESH-Hydro,HIMACHAL PRADESH-Total,JAMMU AND KASHMIR-Thermal,JAMMU AND KASHMIR-Natural Gas,JAMMU AND KASHMIR-Nuclear,JAMMU AND KASHMIR-Hydro,JAMMU AND KASHMIR-Total,PUNJAB-Thermal,PUNJAB-Natural Gas,PUNJAB-Nuclear,PUNJAB-Hydro,PUNJAB-Total,RAJASTHAN-Thermal,RAJASTHAN-Natural Gas,RAJASTHAN-Nuclear,RAJASTHAN-Hydro,RAJASTHAN-Total,UTTAR PRADESH-Thermal,UTTAR PRADESH-Natural Gas,UTTAR PRADESH-Nuclear,UTTAR PRADESH-Hydro,UTTAR PRADESH-Total,UTTARAKHAND-Thermal,UTTARAKHAND-Natural Gas,UTTARAKHAND-Nuclear,UTTARAKHAND-Hydro,UTTARAKHAND-Total,CHHATTISGARH-Thermal,CHHATTISGARH-Natural Gas,CHHATTISGARH-Nuclear,CHHATTISGARH-Hydro,CHHATTISGARH-Total,GOA-Thermal,GOA-Natural Gas,GOA-Nuclear,GOA-Hydro,GOA-Total,GUJARAT-Thermal,GUJARAT-Natural Gas,GUJARAT-Nuclear,GUJARAT-Hydro,GUJARAT-Total,MADHYA PRADESH-Thermal,MADHYA PRADESH-Natural Gas,MADHYA PRADESH-Nuclear,MADHYA PRADESH-Hydro,MADHYA PRADESH-Total,MAHARASHTRA-Thermal,MAHARASHTRA-Natural Gas,MAHARASHTRA-Nuclear,MAHARASHTRA-Hydro,MAHARASHTRA-Total,ANDHRA PRADESH-Thermal,ANDHRA PRADESH-Natural Gas,ANDHRA PRADESH-Nuclear,ANDHRA PRADESH-Hydro,ANDHRA PRADESH-Total,KARNATAKA-Thermal,KARNATAKA-Natural Gas,KARNATAKA-Nuclear,KARNATAKA-Hydro,KARNATAKA-Total,KERALA-Thermal,KERALA-Natural Gas,KERALA-Nuclear,KERALA-Hydro,KERALA-Total,LAKSHADWEEP-Thermal,LAKSHADWEEP-Natural Gas,LAKSHADWEEP-Nuclear,LAKSHADWEEP-Hydro,LAKSHADWEEP-Total,PUDUCHERRY-Thermal,PUDUCHERRY-Natural Gas,PUDUCHERRY-Nuclear,PUDUCHERRY-Hydro,PUDUCHERRY-Total,TAMIL NADU-Thermal,TAMIL NADU-Natural Gas,TAMIL NADU-Nuclear,TAMIL NADU-Hydro,TAMIL NADU-Total,ANDAMAN & NICOBAR ISLANDS-Thermal,ANDAMAN & NICOBAR ISLANDS-Natural Gas,ANDAMAN & NICOBAR ISLANDS-Nuclear,ANDAMAN & NICOBAR ISLANDS-Hydro,ANDAMAN & NICOBAR ISLANDS-Total,BIHAR-Thermal,BIHAR-Natural Gas,BIHAR-Nuclear,BIHAR-Hydro,BIHAR-Total,JHARKHAND-Thermal,JHARKHAND-Natural Gas,JHARKHAND-Nuclear,JHARKHAND-Hydro,JHARKHAND-Total,ODISHA-Thermal,ODISHA-Natural Gas,ODISHA-Nuclear,ODISHA-Hydro,ODISHA-Total,SIKKIM-Thermal,SIKKIM-Natural Gas,SIKKIM-Nuclear,SIKKIM-Hydro,SIKKIM-Total,WEST BENGAL-Thermal,WEST BENGAL-Natural Gas,WEST BENGAL-Nuclear,WEST BENGAL-Hydro,WEST BENGAL-Total,ARUNACHAL PRADESH-Thermal,ARUNACHAL PRADESH-Natural Gas,ARUNACHAL PRADESH-Nuclear,ARUNACHAL PRADESH-Hydro,ARUNACHAL PRADESH-Total,ASSAM-Thermal,ASSAM-Natural Gas,ASSAM-Nuclear,ASSAM-Hydro,ASSAM-Total,MANIPUR-Thermal,MANIPUR-Natural Gas,MANIPUR-Nuclear,MANIPUR-Hydro,MANIPUR-Total,MEGHALAYA-Thermal,MEGHALAYA-Natural Gas,MEGHALAYA-Nuclear,MEGHALAYA-Hydro,MEGHALAYA-Total,MIZORAM-Thermal,MIZORAM-Natural Gas,MIZORAM-Nuclear,MIZORAM-Hydro,MIZORAM-Total,NAGALAND-Thermal,NAGALAND-Natural Gas,NAGALAND-Nuclear,NAGALAND-Hydro,NAGALAND-Total,TRIPURA-Thermal,TRIPURA-Natural Gas,TRIPURA-Nuclear,TRIPURA-Hydro,TRIPURA-Total,TELANGANA-Thermal,TELANGANA-Natural Gas,TELANGANA-Nuclear,TELANGANA-Hydro,TELANGANA-Total,LADAKH-Thermal,LADAKH-Natural Gas,LADAKH-Nuclear,LADAKH-Hydro,LADAKH-Total,INDIA-Thermal,INDIA-Natural Gas,INDIA-Nuclear,INDIA-Hydro,INDIA-Total
200801,1102.5,612.4,0,0,1714.9,1840,430,0,62.4,2332.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2370,0,0,1142.35,3512.35,2420,856.8,740,430,4446.8,10617,1469,440,522.6,13048.6,0,0,0,2929.85,2929.85,4630,0,0,137,4767,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6042.5,0,0,2438.5,8481,8450,2572,1400,2829.8,15251.8,6979.3,1875.4,0,3632.5,12487.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7055.8,0,440,2170.45,9666.25,60.05,0,0,5.25,65.3,1880,0,0,44.9,1924.9,3000,0,0,214,3214,3890,0,0,1936.5,5826.5,5,0,0,92,97,8624.2,190,0,1116.5,9930.7,0,0,0,415.5,415.5,300,590,0,325,1215,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,76811.1,13047.32,4120,36298.25,130276.67
200802,1102.5,612.4,0,0,1714.9,1840,430,0,62.4,2332.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2370,0,0,1142.35,3512.35,2420,856.8,740,430,4446.8,10617,1469,440,522.6,13048.6,0,0,0,2929.85,2929.85,4630,0,0,137,4767,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6042.5,0,0,2438.5,8481,8450,2572,1400,2829.8,15251.8,6979.3,1875.4,0,3632.5,12487.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7055.8,0,440,2170.45,9666.25,60.05,0,0,5.25,65.3,1880,0,0,44.9,1924.9,3000,0,0,214,3214,3890,0,0,1936.5,5826.5,5,0,0,92,97,8624.2,190,0,1116.5,9930.7,0,0,0,415.5,415.5,300,590,0,325,1215,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,76811.1,13047.32,4120,36298.25,130276.67
200803,1102.5,612.4,0,0,1714.9,1840,430,0,62.4,2332.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2370,0,0,1142.35,3512.35,2420,856.8,740,430,4446.8,10727,1469,440,522.6,13158.6,0,0,0,2929.85,2929.85,4630,0,0,137,4767,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6042.5,0,0,2438.5,8481,8450,2572,1400,2829.8,15251.8,6979.3,1875.4,0,3632.5,12487.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7055.8,0,440,2170.45,9666.25,60.05,0,0,5.25,65.3,1880,0,0,44.9,1924.9,3000,0,0,214,3214,3890,0,0,1936.5,5826.5,5,0,0,92,97,8624.2,190,0,1286.5,10100.7,0,0,0,415.5,415.5,300,590,0,325,1215,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,76921.1,13047.32,4120,36468.25,130556.67
200804,1102.5,612.4,0,0,1714.9,2140,430,0,62.4,2632.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2370,0,0,1142.35,3512.35,2420,856.8,740,430,4446.8,10617,1469,440,526.2,13052.2,0,0,0,3081.85,3081.85,5130,0,0,137,5267,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6042.5,0,0,2438.5,8481,8450,2572,1400,2829.8,15251.8,6979.3,1875.4,0,3671.5,12526.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7055.8,0,440,2170.45,9666.25,60.05,0,0,5.25,65.3,2380,0,0,44.9,2424.9,3000,0,0,214,3214,3890,0,0,2011.5,5901.5,5,0,0,602,607,8624.2,190,0,1116.5,9930.7,0,0,0,423.5,423.5,60,554.5,0,325,939.5,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,77871.1,13011.82,4120,37085.85,132088.77
200805,1102.5,612.4,0,0,1714.9,2140,430,0,62.4,2632.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2370,0,0,1142.35,3512.35,2420,856.8,740,430,4446.8,10617,1469,440,526.2,13052.2,0,0,0,3081.85,3081.85,5130,0,0,137,5267,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6042.5,0,0,2438.5,8481,8450,2572,1400,2954.8,15376.8,6979.3,1875.4,0,3671.5,12526.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7115.6,0,440,2170.45,9726.05,60.05,0,0,5.25,65.3,2380,0,0,44.9,2424.9,3000,0,0,214,3214,3890,0,0,2011.5,5901.5,5,0,0,602,607,8624.2,190,0,1116.5,9930.7,0,0,0,423.5,423.5,60,554.5,0,325,939.5,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,77930.9,13011.82,4120,37210.85,132273.57
200806,1102.5,612.4,0,0,1714.9,2140,430,0,62.4,2632.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2370,0,0,1142.35,3512.35,2420,856.8,740,430,4446.8,10617,1469,440,526.2,13052.2,0,0,0,3081.85,3081.85,5130,0,0,137,5267,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6252.5,0,0,2438.5,8691,8450,2572,1400,2954.8,15376.8,6979.3,1875.4,0,3671.5,12526.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7115.6,0,440,2170.45,9726.05,60.05,0,0,5.25,65.3,2380,0,0,44.9,2424.9,3000,0,0,214,3214,3890,0,0,2011.5,5901.5,5,0,0,602,607,8624.2,190,0,1116.5,9930.7,0,0,0,423.5,423.5,60,554.5,0,325,939.5,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,78140.9,13011.82,4120,37210.85,132483.57
200807,1102.5,612.4,0,0,1714.9,2140,430,0,62.4,2632.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2370,0,0,1142.35,3512.35,2420,856.8,740,430,4446.8,10517,1469,440,526.2,12952.2,0,0,0,3081.85,3081.85,5380,0,0,137,5517,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6252.5,0,0,2438.5,8691,8450,2572,1400,3079.8,15501.8,6979.3,1875.4,0,3671.5,12526.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7115.6,0,440,2170.45,9726.05,60.05,0,0,5.25,65.3,2380,0,0,44.9,2424.9,3000,0,0,214,3214,3890,0,0,2011.5,5901.5,5,0,0,602,607,8624.2,190,0,1116.5,9930.7,0,0,0,423.5,423.5,60,554.5,0,325,939.5,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,78290.9,13011.82,4120,37335.85,132758.57
200808,1087.5,612.4,0,0,1699.9,2140,430,0,62.4,2632.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2620,0,0,1142.35,3762.35,2420,856.8,740,430,4446.8,10517,1469,440,526.2,12952.2,0,0,0,3081.85,3081.85,5880,0,0,137,6017,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6252.5,0,0,2438.5,8691,8450,2572,1400,3079.8,15501.8,6979.3,1875.4,0,3671.5,12526.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7115.6,0,440,2170.45,9726.05,60.05,0,0,5.25,65.3,2380,0,0,44.9,2424.9,3000,0,0,214,3214,3890,0,0,2011.5,5901.5,5,0,0,602,607,8924.2,190,0,1116.5,10230.7,0,0,0,423.5,423.5,60,554.5,0,325,939.5,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,79325.9,13011.82,4120,37335.85,133793.57
200809,1087.5,612.4,0,0,1699.9,2140,430,0,62.4,2632.4,0,0,0,6253.6,6253.6,0,175,0,1870.65,2045.65,2620,0,0,1142.35,3762.35,2420,856.8,740,430,4446.8,10517,1469,440,526.2,12952.2,0,0,0,3081.85,3081.85,5880,0,0,137,6017,0,48,0,0,48,4755,3240.72,440,1995,10430.72,6252.5,0,0,2438.5,8691,8450,3312,1400,3079.8,16241.8,6979.3,1875.4,0,3710.5,12565.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7148,0,440,2170.45,9758.45,60.05,0,0,5.25,65.3,2380,0,0,44.9,2424.9,3000,0,0,214,3214,3890,0,0,2011.5,5901.5,5,0,0,602,607,8924.2,190,0,1116.5,10230.7,0,0,0,423.5,423.5,60,554.5,0,325,939.5,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,79358.3,13751.82,4120,37374.85,134604.97
200810,1087.5,600.4,0,0,1687.9,2140,430,0,62.4,2632.4,0,0,0,6253.6,6253.6,0,175,0,2170.65,2345.65,2620,0,0,1142.35,3762.35,2420,856.8,740,430,4446.8,10397,1469,440,526.2,12832.2,0,0,0,3081.85,3081.85,5880,0,0,137,6017,0,48,0,0,48,4830,3240.72,440,1995,10505.72,6242.5,0,0,2438.5,8681,8450,3312,1400,3079.8,16241.8,6979.3,1875.4,0,3710.5,12565.2,2464.42,220,660,3448,6792.42,256.44,524,0,1846.7,2627.14,9.97,0,0,0,9.97,0,32.5,0,0,32.5,7148,0,440,2170.45,9758.45,60.05,0,0,5.25,65.3,2380,0,0,44.9,2424.9,3000,0,0,214,3214,3890,0,0,2011.5,5901.5,5,0,0,602,607,8924.2,190,0,1116.5,10230.7,0,0,0,423.5,423.5,60,554.5,0,325,939.5,36,0,0,90,126,0,0,0,235.2,235.2,22.92,0,0,0,22.92,0,0,0,99,99,0,211.5,0,15,226.5,0,0,0,0,0,0,0,0,0,0,79303.3,13739.82,4120,37674.85,134837.97
