YYYY-MM-DD,Capacity (MW),Type,State,GenType
01-03-2019,40.05,Non-Renewable,Andaman & Nicobar,Thermal
01-03-2019,0,Non-Renewable,Andaman & Nicobar,Natural Gas
01-03-2019,0,Non-Renewable,Andaman & Nicobar,Nuclear
01-03-2019,0,Non-Renewable,Andaman & Nicobar,Hydro
01-03-2019,5.25,Renewable,Andaman & Nicobar,Small Hydro
01-03-2019,0,Renewable,Andaman & Nicobar,Wind
01-03-2019,0,Renewable,Andaman & Nicobar,Bio Bagasse Cogen
01-03-2019,0,Renewable,Andaman & Nicobar,Bio Other Cogen
01-03-2019,0,Renewable,Andaman & Nicobar,Bio Waste
01-03-2019,7.6,Renewable,Andaman & Nicobar,Solar Ground
01-03-2019,4.13,Renewable,Andaman & Nicobar,Solar Rooftop
01-03-2019,0,Renewable,Andaman & Nicobar,Bio Waster Offgrid
01-03-2019,0,Renewable,Andaman & Nicobar,Solar Offgrid
01-03-2019,0,Renewable,Andaman & Nicobar,Solar Hybrid
01-03-2019,0,Renewable,Andaman & Nicobar,Solar Ground Based
01-03-2019,0,Renewable,Andaman & Nicobar,Solar Rooftop
01-03-2019,0,Renewable,Andaman & Nicobar,Solar Hybrid
01-03-2019,0,Renewable,Andaman & Nicobar,Solar Offgrid
01-04-2019,40.05,Non-Renewable,Andaman & Nicobar,Thermal
01-04-2019,0,Non-Renewable,Andaman & Nicobar,Natural Gas
01-04-2019,0,Non-Renewable,Andaman & Nicobar,Nuclear
01-04-2019,0,Non-Renewable,Andaman & Nicobar,Hydro
01-04-2019,5.25,Renewable,Andaman & Nicobar,Small Hydro
01-04-2019,0,Renewable,Andaman & Nicobar,Wind
01-04-2019,0,Renewable,Andaman & Nicobar,Bio Bagasse Cogen
01-04-2019,0,Renewable,Andaman & Nicobar,Bio Other Cogen
01-04-2019,0,Renewable,Andaman & Nicobar,Bio Waste
01-04-2019,7.6,Renewable,Andaman & Nicobar,Solar Ground
01-04-2019,4.13,Renewable,Andaman & Nicobar,Solar Rooftop
01-04-2019,0,Renewable,Andaman & Nicobar,Bio Waster Offgrid
01-04-2019,0,Renewable,Andaman & Nicobar,Solar Offgrid
01-04-2019,0,Renewable,Andaman & Nicobar,Solar Hybrid
01-04-2019,0,Renewable,Andaman & Nicobar,Solar Ground Based
01-04-2019,0,Renewable,Andaman & Nicobar,Solar Rooftop
01-04-2019,0,Renewable,Andaman & Nicobar,Solar Hybrid
01-04-2019,0,Renewable,Andaman & Nicobar,Solar Offgrid
01-05-2019,40.05,Non-Renewable,Andaman & Nicobar,Thermal
01-05-2019,0,Non-Renewable,Andaman & Nicobar,Natural Gas
01-05-2019,0,Non-Renewable,Andaman & Nicobar,Nuclear
01-05-2019,0,Non-Renewable,Andaman & Nicobar,Hydro
01-05-2019,5.25,Renewable,Andaman & Nicobar,Small Hydro
01-05-2019,0,Renewable,Andaman & Nicobar,Wind
01-05-2019,0,Renewable,Andaman & Nicobar,Bio Bagasse Cogen
01-05-2019,0,Renewable,Andaman & Nicobar,Bio Other Cogen
01-05-2019,0,Renewable,Andaman & Nicobar,Bio Waste
01-05-2019,7.6,Renewable,Andaman & Nicobar,Solar Ground
01-05-2019,4.13,Renewable,Andaman & Nicobar,Solar Rooftop
01-05-2019,0,Renewable,Andaman & Nicobar,Bio Waster Offgrid
01-05-2019,0,Renewable,Andaman & Nicobar,Solar Offgrid
01-05-2019,0,Renewable,Andaman & Nicobar,Solar Hybrid
01-05-2019,0,Renewable,Andaman & Nicobar,Solar Ground Based
01-05-2019,0,Renewable,Andaman & Nicobar,Solar Rooftop
01-05-2019,0,Renewable,Andaman & Nicobar,Solar Hybrid
01-05-2019,0,Renewable,Andaman & Nicobar,Solar Offgrid
01-06-2019,40.05,Non-Renewable,Andaman & Nicobar,Thermal
01-06-2019,0,Non-Renewable,Andaman & Nicobar,Natural Gas
01-06-2019,0,Non-Renewable,Andaman & Nicobar,Nuclear
01-06-2019,0,Non-Renewable,Andaman & Nicobar,Hydro
01-06-2019,5.25,Renewable,Andaman & Nicobar,Small Hydro
01-06-2019,0,Renewable,Andaman & Nicobar,Wind
01-06-2019,0,Renewable,Andaman & Nicobar,Bio Bagasse Cogen
01-06-2019,0,Renewable,Andaman & Nicobar,Bio Other Cogen
01-06-2019,0,Renewable,Andaman & Nicobar,Bio Waste
01-06-2019,7.6,Renewable,Andaman & Nicobar,Solar Ground
01-06-2019,4.13,Renewable,Andaman & Nicobar,Solar Rooftop
01-06-2019,0,Renewable,Andaman & Nicobar,Bio Waster Offgrid
01-06-2019,0,Renewable,Andaman & Nicobar,Solar Offgrid
01-06-2019,0,Renewable,Andaman & Nicobar,Solar Hybrid
