YYYY-MM,State,Type,Source,Capacity_MW
2020-01,Andaman & Nicobar,Non-Renewable,Thermal,40.048
2020-01,Andaman & Nicobar,Renewable,Small Hydro,5.25
2020-01,Andaman & Nicobar,Renewable,Solar Ground,7.6
2020-01,Andaman & Nicobar,Renewable,Solar Rooftop,4.59
2020-01,Andhra Pradesh,Non-Renewable,Hydro,1610
2020-01,Andhra Pradesh,Non-Renewable,Natural Gas,4898.544
2020-01,Andhra Pradesh,Non-Renewable,Thermal,11626.8
2020-01,Andhra Pradesh,Renewable,Bio Bagasse Cogen,378.2
2020-01,Andhra Pradesh,Renewable,Bio Other Cogen,98.98
2020-01,Andhra Pradesh,Renewable,Bio Waste,23.16
2020-01,Andhra Pradesh,Renewable,Small Hydro,162.11
2020-01,Andhra Pradesh,Renewable,Solar Ground,3470.99
2020-01,Andhra Pradesh,Renewable,Solar Rooftop,88.03
2020-01,Andhra Pradesh,Renewable,Wind,4092.45
2020-01,Arunachal Pradesh,Non-Renewable,Hydro,515
2020-01,Arunachal Pradesh,Renewable,Small Hydro,131.105
2020-01,Arunachal Pradesh,Renewable,Solar Ground,1.27
2020-01,Arunachal Pradesh,Renewable,Solar Rooftop,4.34
2020-01,Assam,Non-Renewable,Hydro,350
2020-01,Assam,Non-Renewable,Natural Gas,619.205
2020-01,Assam,Non-Renewable,Thermal,750
2020-01,Assam,Renewable,Small Hydro,34.11
2020-01,Assam,Renewable,Solar Ground,10.67
2020-01,Assam,Renewable,Solar Rooftop,30.56
2020-01,Bihar,Non-Renewable,Thermal,6390
2020-01,Bihar,Renewable,Bio Bagasse Cogen,113
2020-01,Bihar,Renewable,Bio Other Cogen,8.2
2020-01,Bihar,Renewable,Small Hydro,70.7
2020-01,Bihar,Renewable,Solar Ground,138.93
2020-01,Bihar,Renewable,Solar Rooftop,12.64
2020-01,Chandigarh,Renewable,Solar Ground,6.34
2020-01,Chandigarh,Renewable,Solar Rooftop,30.65
2020-01,Chhatisgarh,Non-Renewable,Hydro,120
2020-01,Chhatisgarh,Non-Renewable,Thermal,23128
2020-01,Chhatisgarh,Renewable,Bio Bagasse Cogen,228
2020-01,Chhatisgarh,Renewable,Bio Other Cogen,2.5
2020-01,Chhatisgarh,Renewable,Small Hydro,76
2020-01,Chhatisgarh,Renewable,Solar Ground,215.83
2020-01,Chhatisgarh,Renewable,Solar Rooftop,15.52
2020-01,Dadar & Nagar Haveli,Renewable,Solar Ground,2.49
2020-01,Dadar & Nagar Haveli,Renewable,Solar Rooftop,2.97
2020-01,Daman & Diu,Renewable,Solar Ground,10.15
2020-01,Daman & Diu,Renewable,Solar Rooftop,6.41
2020-01,Delhi,Non-Renewable,Natural Gas,2208.4
