YYYY-MM,Source,Type,State,0
01-01-2020,Bio Bagasse Cogen,Renewable,Andaman & Nicobar,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Andhra Pradesh,378.2
01-01-2020,Bio Bagasse Cogen,Renewable,Arunachal Pradesh,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Assam,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Bihar,113.0
01-01-2020,Bio Bagasse Cogen,Renewable,Chandigarh,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Chhatisgarh,228.0
01-01-2020,Bio Bagasse Cogen,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Daman & Diu,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Delhi,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Goa,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Gujarat,65.3
01-01-2020,Bio Bagasse Cogen,Renewable,Haryana,121.4
01-01-2020,Bio Bagasse Cogen,Renewable,Himachal Pradesh,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Jammu & Kashmir,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Jharkhand,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Karnataka,1866.6
01-01-2020,Bio Bagasse Cogen,Renewable,Kerala,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Ladakh,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Lakshwadeep,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Madhya Pradesh,93.0
01-01-2020,Bio Bagasse Cogen,Renewable,Maharashtra,2499.7
01-01-2020,Bio Bagasse Cogen,Renewable,Manipur,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Meghalaya,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Mizoram,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Nagaland,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Odisha,50.4
01-01-2020,Bio Bagasse Cogen,Renewable,Others,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Pondicherry,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Punjab,194.0
01-01-2020,Bio Bagasse Cogen,Renewable,Rajasthan,119.3
01-01-2020,Bio Bagasse Cogen,Renewable,Sikkim,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Tamil Nadu,969.0
01-01-2020,Bio Bagasse Cogen,Renewable,Telangana,158.1
01-01-2020,Bio Bagasse Cogen,Renewable,Tripura,0.0
01-01-2020,Bio Bagasse Cogen,Renewable,Uttar Pradesh,1957.5
01-01-2020,Bio Bagasse Cogen,Renewable,Uttarakhand,73.0
01-01-2020,Bio Bagasse Cogen,Renewable,West Bengal,300.0
01-01-2020,Bio Other Cogen,Renewable,Andaman & Nicobar,0.0
01-01-2020,Bio Other Cogen,Renewable,Andhra Pradesh,98.98
01-01-2020,Bio Other Cogen,Renewable,Arunachal Pradesh,0.0
01-01-2020,Bio Other Cogen,Renewable,Assam,0.0
01-01-2020,Bio Other Cogen,Renewable,Bihar,8.2
01-01-2020,Bio Other Cogen,Renewable,Chandigarh,0.0
01-01-2020,Bio Other Cogen,Renewable,Chhatisgarh,2.5
01-01-2020,Bio Other Cogen,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Bio Other Cogen,Renewable,Daman & Diu,0.0
01-01-2020,Bio Other Cogen,Renewable,Delhi,0.0
01-01-2020,Bio Other Cogen,Renewable,Goa,0.0
01-01-2020,Bio Other Cogen,Renewable,Gujarat,12.0
01-01-2020,Bio Other Cogen,Renewable,Haryana,84.26
01-01-2020,Bio Other Cogen,Renewable,Himachal Pradesh,7.2
01-01-2020,Bio Other Cogen,Renewable,Jammu & Kashmir,0.0
01-01-2020,Bio Other Cogen,Renewable,Jharkhand,4.3
01-01-2020,Bio Other Cogen,Renewable,Karnataka,15.2
01-01-2020,Bio Other Cogen,Renewable,Kerala,0.72
01-01-2020,Bio Other Cogen,Renewable,Ladakh,0.0
01-01-2020,Bio Other Cogen,Renewable,Lakshwadeep,0.0
01-01-2020,Bio Other Cogen,Renewable,Madhya Pradesh,12.35
01-01-2020,Bio Other Cogen,Renewable,Maharashtra,16.4
01-01-2020,Bio Other Cogen,Renewable,Manipur,0.0
01-01-2020,Bio Other Cogen,Renewable,Meghalaya,13.8
01-01-2020,Bio Other Cogen,Renewable,Mizoram,0.0
01-01-2020,Bio Other Cogen,Renewable,Nagaland,0.0
01-01-2020,Bio Other Cogen,Renewable,Odisha,8.82
01-01-2020,Bio Other Cogen,Renewable,Others,0.0
01-01-2020,Bio Other Cogen,Renewable,Pondicherry,0.0
01-01-2020,Bio Other Cogen,Renewable,Punjab,123.1
01-01-2020,Bio Other Cogen,Renewable,Rajasthan,2.0
01-01-2020,Bio Other Cogen,Renewable,Sikkim,0.0
01-01-2020,Bio Other Cogen,Renewable,Tamil Nadu,28.55
01-01-2020,Bio Other Cogen,Renewable,Telangana,1.0
01-01-2020,Bio Other Cogen,Renewable,Tripura,0.0
01-01-2020,Bio Other Cogen,Renewable,Uttar Pradesh,158.01
01-01-2020,Bio Other Cogen,Renewable,Uttarakhand,57.5
01-01-2020,Bio Other Cogen,Renewable,West Bengal,19.92
01-01-2020,Bio Waste,Renewable,Andaman & Nicobar,0.0
01-01-2020,Bio Waste,Renewable,Andhra Pradesh,23.16
01-01-2020,Bio Waste,Renewable,Arunachal Pradesh,0.0
01-01-2020,Bio Waste,Renewable,Assam,0.0
01-01-2020,Bio Waste,Renewable,Bihar,0.0
01-01-2020,Bio Waste,Renewable,Chandigarh,0.0
01-01-2020,Bio Waste,Renewable,Chhatisgarh,0.0
01-01-2020,Bio Waste,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Bio Waste,Renewable,Daman & Diu,0.0
01-01-2020,Bio Waste,Renewable,Delhi,52.0
01-01-2020,Bio Waste,Renewable,Goa,0.0
01-01-2020,Bio Waste,Renewable,Gujarat,0.0
01-01-2020,Bio Waste,Renewable,Haryana,0.0
01-01-2020,Bio Waste,Renewable,Himachal Pradesh,0.0
01-01-2020,Bio Waste,Renewable,Jammu & Kashmir,0.0
01-01-2020,Bio Waste,Renewable,Jharkhand,0.0
01-01-2020,Bio Waste,Renewable,Karnataka,1.0
01-01-2020,Bio Waste,Renewable,Kerala,0.0
01-01-2020,Bio Waste,Renewable,Ladakh,0.0
01-01-2020,Bio Waste,Renewable,Lakshwadeep,0.0
01-01-2020,Bio Waste,Renewable,Madhya Pradesh,15.4
01-01-2020,Bio Waste,Renewable,Maharashtra,12.59
01-01-2020,Bio Waste,Renewable,Manipur,0.0
01-01-2020,Bio Waste,Renewable,Meghalaya,0.0
01-01-2020,Bio Waste,Renewable,Mizoram,0.0
01-01-2020,Bio Waste,Renewable,Nagaland,0.0
01-01-2020,Bio Waste,Renewable,Odisha,0.0
01-01-2020,Bio Waste,Renewable,Others,0.0
01-01-2020,Bio Waste,Renewable,Pondicherry,0.0
01-01-2020,Bio Waste,Renewable,Punjab,10.75
01-01-2020,Bio Waste,Renewable,Rajasthan,0.0
01-01-2020,Bio Waste,Renewable,Sikkim,0.0
01-01-2020,Bio Waste,Renewable,Tamil Nadu,6.4
01-01-2020,Bio Waste,Renewable,Telangana,18.5
01-01-2020,Bio Waste,Renewable,Tripura,0.0
01-01-2020,Bio Waste,Renewable,Uttar Pradesh,0.0
01-01-2020,Bio Waste,Renewable,Uttarakhand,0.0
01-01-2020,Bio Waste,Renewable,West Bengal,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Andaman & Nicobar,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Andhra Pradesh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Arunachal Pradesh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Assam,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Bihar,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Chandigarh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Chhatisgarh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Daman & Diu,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Delhi,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Goa,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Gujarat,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Haryana,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Himachal Pradesh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Jammu & Kashmir,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Jharkhand,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Karnataka,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Kerala,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Ladakh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Lakshwadeep,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Madhya Pradesh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Maharashtra,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Manipur,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Meghalaya,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Mizoram,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Nagaland,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Odisha,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Others,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Pondicherry,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Punjab,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Rajasthan,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Sikkim,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Tamil Nadu,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Telangana,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Tripura,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Uttar Pradesh,0.0
01-01-2020,Bio Waster Offgrid,Renewable,Uttarakhand,0.0
01-01-2020,Bio Waster Offgrid,Renewable,West Bengal,0.0
