YYYY-MM-DD,Capacity (MW),Type,State,GenType
01-03-2019,162.11,Renewable,Andhra Pradesh,SmallHydro
01-03-2019,4090.45,Renewable,Andhra Pradesh,Wind
01-03-2019,378.2,Renewable,Andhra Pradesh,BioBagasseCogen
01-03-2019,98.98,Renewable,Andhra Pradesh,BioOtherCogen
01-03-2019,23.16,Renewable,Andhra Pradesh,BioWaste
01-03-2019,500.34,Renewable,Andhra Pradesh,BioTotal
01-03-2019,3027.15,Renewable,Andhra Pradesh,SolarGround
01-03-2019,58.53,Renewable,Andhra Pradesh,SolarRoofTop
01-03-2019,3085.68,Renewable,Andhra Pradesh,SolarTotal
01-03-2019,7838.58,Renewable,Andhra Pradesh,TotalCapacity
01-03-2019,0,Renewable,Andhra Pradesh,BioWasteOffgrid
01-03-2019,0,Renewable,Andhra Pradesh,SolarOffgrid
01-03-2019,0,Renewable,Andhra Pradesh,SolarinHybrid
01-03-2019,0,Renewable,Andhra Pradesh,SolarGroundSolar
01-03-2019,0,Renewable,Andhra Pradesh,SolarRooftopSolar
01-03-2019,0,Renewable,Andhra Pradesh,SolarHybridSolarComp
01-03-2019,0,Renewable,Andhra Pradesh,SolarOffgridSolar
01-03-2019,131.105,Renewable,Arunachal Pradesh,SmallHydro
01-03-2019,0,Renewable,Arunachal Pradesh,Wind
01-03-2019,0,Renewable,Arunachal Pradesh,BioBagasseCogen
01-03-2019,0,Renewable,Arunachal Pradesh,BioOtherCogen
01-03-2019,0,Renewable,Arunachal Pradesh,BioWaste
01-03-2019,0,Renewable,Arunachal Pradesh,BioTotal
01-03-2019,1.27,Renewable,Arunachal Pradesh,SolarGround
01-03-2019,4.12,Renewable,Arunachal Pradesh,SolarRoofTop
01-03-2019,5.39,Renewable,Arunachal Pradesh,SolarTotal
01-03-2019,136.495,Renewable,Arunachal Pradesh,TotalCapacity
01-03-2019,0,Renewable,Arunachal Pradesh,BioWasteOffgrid
01-03-2019,0,Renewable,Arunachal Pradesh,SolarOffgrid
01-03-2019,0,Renewable,Arunachal Pradesh,SolarinHybrid
01-03-2019,0,Renewable,Arunachal Pradesh,SolarGroundSolar
01-03-2019,0,Renewable,Arunachal Pradesh,SolarRooftopSolar
01-03-2019,0,Renewable,Arunachal Pradesh,SolarHybridSolarComp
01-03-2019,0,Renewable,Arunachal Pradesh,SolarOffgridSolar
01-03-2019,34.11,Renewable,Assam,SmallHydro
01-03-2019,0,Renewable,Assam,Wind
01-03-2019,0,Renewable,Assam,BioBagasseCogen
01-03-2019,0,Renewable,Assam,BioOtherCogen
01-03-2019,0,Renewable,Assam,BioWaste
01-03-2019,0,Renewable,Assam,BioTotal
01-03-2019,10.67,Renewable,Assam,SolarGround
01-03-2019,11.73,Renewable,Assam,SolarRoofTop
01-03-2019,22.4,Renewable,Assam,SolarTotal
01-03-2019,56.51,Renewable,Assam,TotalCapacity
01-03-2019,0,Renewable,Assam,BioWasteOffgrid
01-03-2019,0,Renewable,Assam,SolarOffgrid
01-03-2019,0,Renewable,Assam,SolarinHybrid
01-03-2019,0,Renewable,Assam,SolarGroundSolar
01-03-2019,0,Renewable,Assam,SolarRooftopSolar
01-03-2019,0,Renewable,Assam,SolarHybridSolarComp
01-03-2019,0,Renewable,Assam,SolarOffgridSolar
01-03-2019,70.7,Renewable,Bihar,SmallHydro
01-03-2019,0,Renewable,Bihar,Wind
01-03-2019,113,Renewable,Bihar,BioBagasseCogen
01-03-2019,8.2,Renewable,Bihar,BioOtherCogen
01-03-2019,0,Renewable,Bihar,BioWaste
01-03-2019,121.2,Renewable,Bihar,BioTotal
01-03-2019,138.93,Renewable,Bihar,SolarGround
01-03-2019,3.52,Renewable,Bihar,SolarRoofTop
01-03-2019,142.45,Renewable,Bihar,SolarTotal
01-03-2019,334.35,Renewable,Bihar,TotalCapacity
01-03-2019,0,Renewable,Bihar,BioWasteOffgrid
01-03-2019,0,Renewable,Bihar,SolarOffgrid
01-03-2019,0,Renewable,Bihar,SolarinHybrid
01-03-2019,0,Renewable,Bihar,SolarGroundSolar
01-03-2019,0,Renewable,Bihar,SolarRooftopSolar
01-03-2019,0,Renewable,Bihar,SolarHybridSolarComp
01-03-2019,0,Renewable,Bihar,SolarOffgridSolar
01-03-2019,76,Renewable,Chhatisgarh,SmallHydro
01-03-2019,0,Renewable,Chhatisgarh,Wind
01-03-2019,228,Renewable,Chhatisgarh,BioBagasseCogen
01-03-2019,2.5,Renewable,Chhatisgarh,BioOtherCogen
01-03-2019,0,Renewable,Chhatisgarh,BioWaste
01-03-2019,230.5,Renewable,Chhatisgarh,BioTotal
01-03-2019,215.83,Renewable,Chhatisgarh,SolarGround
01-03-2019,15.52,Renewable,Chhatisgarh,SolarRoofTop
01-03-2019,231.35,Renewable,Chhatisgarh,SolarTotal
01-03-2019,537.85,Renewable,Chhatisgarh,TotalCapacity
01-03-2019,0,Renewable,Chhatisgarh,BioWasteOffgrid
01-03-2019,0,Renewable,Chhatisgarh,SolarOffgrid
01-03-2019,0,Renewable,Chhatisgarh,SolarinHybrid
01-03-2019,0,Renewable,Chhatisgarh,SolarGroundSolar
01-03-2019,0,Renewable,Chhatisgarh,SolarRooftopSolar
01-03-2019,0,Renewable,Chhatisgarh,SolarHybridSolarComp
01-03-2019,0,Renewable,Chhatisgarh,SolarOffgridSolar
01-03-2019,0.05,Renewable,Goa,SmallHydro
01-03-2019,0,Renewable,Goa,Wind
01-03-2019,0,Renewable,Goa,BioBagasseCogen
01-03-2019,0,Renewable,Goa,BioOtherCogen
01-03-2019,0,Renewable,Goa,BioWaste
01-03-2019,0,Renewable,Goa,BioTotal
01-03-2019,0.95,Renewable,Goa,SolarGround
01-03-2019,2.97,Renewable,Goa,SolarRoofTop
01-03-2019,3.92,Renewable,Goa,SolarTotal
01-03-2019,3.97,Renewable,Goa,TotalCapacity
01-03-2019,0,Renewable,Goa,BioWasteOffgrid
01-03-2019,0,Renewable,Goa,SolarOffgrid
01-03-2019,0,Renewable,Goa,SolarinHybrid
01-03-2019,0,Renewable,Goa,SolarGroundSolar
01-03-2019,0,Renewable,Goa,SolarRooftopSolar
01-03-2019,0,Renewable,Goa,SolarHybridSolarComp
01-03-2019,0,Renewable,Goa,SolarOffgridSolar
01-03-2019,61.3,Renewable,Gujarat,SmallHydro
01-03-2019,6073.07,Renewable,Gujarat,Wind
01-03-2019,65.3,Renewable,Gujarat,BioBagasseCogen
01-03-2019,12,Renewable,Gujarat,BioOtherCogen
01-03-2019,0,Renewable,Gujarat,BioWaste
01-03-2019,77.3,Renewable,Gujarat,BioTotal
01-03-2019,2113.46,Renewable,Gujarat,SolarGround
01-03-2019,326.67,Renewable,Gujarat,SolarRoofTop
01-03-2019,2440.13,Renewable,Gujarat,SolarTotal
01-03-2019,8651.8,Renewable,Gujarat,TotalCapacity
01-03-2019,0,Renewable,Gujarat,BioWasteOffgrid
01-03-2019,0,Renewable,Gujarat,SolarOffgrid
01-03-2019,0,Renewable,Gujarat,SolarinHybrid
01-03-2019,0,Renewable,Gujarat,SolarGroundSolar
01-03-2019,0,Renewable,Gujarat,SolarRooftopSolar
01-03-2019,0,Renewable,Gujarat,SolarHybridSolarComp
01-03-2019,0,Renewable,Gujarat,SolarOffgridSolar
01-03-2019,73.5,Renewable,Haryana,SmallHydro
01-03-2019,0,Renewable,Haryana,Wind
01-03-2019,121.4,Renewable,Haryana,BioBagasseCogen
01-03-2019,84.26,Renewable,Haryana,BioOtherCogen
01-03-2019,0,Renewable,Haryana,BioWaste
01-03-2019,205.66,Renewable,Haryana,BioTotal
01-03-2019,130.8,Renewable,Haryana,SolarGround
01-03-2019,93.72,Renewable,Haryana,SolarRoofTop
01-03-2019,224.52,Renewable,Haryana,SolarTotal
01-03-2019,503.68,Renewable,Haryana,TotalCapacity
01-03-2019,0,Renewable,Haryana,BioWasteOffgrid
01-03-2019,0,Renewable,Haryana,SolarOffgrid
01-03-2019,0,Renewable,Haryana,SolarinHybrid
01-03-2019,0,Renewable,Haryana,SolarGroundSolar
01-03-2019,0,Renewable,Haryana,SolarRooftopSolar
01-03-2019,0,Renewable,Haryana,SolarHybridSolarComp
01-03-2019,0,Renewable,Haryana,SolarOffgridSolar
01-03-2019,860.61,Renewable,Himachal Pradesh,SmallHydro
01-03-2019,0,Renewable,Himachal Pradesh,Wind
01-03-2019,0,Renewable,Himachal Pradesh,BioBagasseCogen
01-03-2019,7.2,Renewable,Himachal Pradesh,BioOtherCogen
01-03-2019,0,Renewable,Himachal Pradesh,BioWaste
01-03-2019,7.2,Renewable,Himachal Pradesh,BioTotal
01-03-2019,17,Renewable,Himachal Pradesh,SolarGround
01-03-2019,5.68,Renewable,Himachal Pradesh,SolarRoofTop
01-03-2019,22.68,Renewable,Himachal Pradesh,SolarTotal
01-03-2019,890.49,Renewable,Himachal Pradesh,TotalCapacity
01-03-2019,0,Renewable,Himachal Pradesh,BioWasteOffgrid
01-03-2019,0,Renewable,Himachal Pradesh,SolarOffgrid
01-03-2019,0,Renewable,Himachal Pradesh,SolarinHybrid
01-03-2019,0,Renewable,Himachal Pradesh,SolarGroundSolar
01-03-2019,0,Renewable,Himachal Pradesh,SolarRooftopSolar
01-03-2019,0,Renewable,Himachal Pradesh,SolarHybridSolarComp
01-03-2019,0,Renewable,Himachal Pradesh,SolarOffgridSolar
01-03-2019,179.03,Renewable,Jammu & Kashmir,SmallHydro
01-03-2019,0,Renewable,Jammu & Kashmir,Wind
01-03-2019,0,Renewable,Jammu & Kashmir,BioBagasseCogen
01-03-2019,0,Renewable,Jammu & Kashmir,BioOtherCogen
01-03-2019,0,Renewable,Jammu & Kashmir,BioWaste
01-03-2019,0,Renewable,Jammu & Kashmir,BioTotal
01-03-2019,8.49,Renewable,Jammu & Kashmir,SolarGround
01-03-2019,6.34,Renewable,Jammu & Kashmir,SolarRoofTop
01-03-2019,14.83,Renewable,Jammu & Kashmir,SolarTotal
01-03-2019,193.86,Renewable,Jammu & Kashmir,TotalCapacity
01-03-2019,0,Renewable,Jammu & Kashmir,BioWasteOffgrid
01-03-2019,0,Renewable,Jammu & Kashmir,SolarOffgrid
01-03-2019,0,Renewable,Jammu & Kashmir,SolarinHybrid
01-03-2019,0,Renewable,Jammu & Kashmir,SolarGroundSolar
01-03-2019,0,Renewable,Jammu & Kashmir,SolarRooftopSolar
01-03-2019,0,Renewable,Jammu & Kashmir,SolarHybridSolarComp
01-03-2019,0,Renewable,Jammu & Kashmir,SolarOffgridSolar
01-03-2019,4.05,Renewable,Jharkhand,SmallHydro
01-03-2019,0,Renewable,Jharkhand,Wind
01-03-2019,0,Renewable,Jharkhand,BioBagasseCogen
01-03-2019,4.3,Renewable,Jharkhand,BioOtherCogen
01-03-2019,0,Renewable,Jharkhand,BioWaste
01-03-2019,4.3,Renewable,Jharkhand,BioTotal
01-03-2019,19.05,Renewable,Jharkhand,SolarGround
01-03-2019,15.9,Renewable,Jharkhand,SolarRoofTop
01-03-2019,34.95,Renewable,Jharkhand,SolarTotal
01-03-2019,43.3,Renewable,Jharkhand,TotalCapacity
01-03-2019,0,Renewable,Jharkhand,BioWasteOffgrid
01-03-2019,0,Renewable,Jharkhand,SolarOffgrid
01-03-2019,0,Renewable,Jharkhand,SolarinHybrid
01-03-2019,0,Renewable,Jharkhand,SolarGroundSolar
01-03-2019,0,Renewable,Jharkhand,SolarRooftopSolar
01-03-2019,0,Renewable,Jharkhand,SolarHybridSolarComp
01-03-2019,0,Renewable,Jharkhand,SolarOffgridSolar
01-03-2019,1254.73,Renewable,Karnataka,SmallHydro
01-03-2019,4694.9,Renewable,Karnataka,Wind
01-03-2019,1783.6,Renewable,Karnataka,BioBagasseCogen
01-03-2019,15.2,Renewable,Karnataka,BioOtherCogen
01-03-2019,1,Renewable,Karnataka,BioWaste
01-03-2019,1799.8,Renewable,Karnataka,BioTotal
01-03-2019,5936.06,Renewable,Karnataka,SolarGround
01-03-2019,159.5,Renewable,Karnataka,SolarRoofTop
01-03-2019,6095.56,Renewable,Karnataka,SolarTotal
01-03-2019,13844.99,Renewable,Karnataka,TotalCapacity
01-03-2019,0,Renewable,Karnataka,BioWasteOffgrid
01-03-2019,0,Renewable,Karnataka,SolarOffgrid
01-03-2019,0,Renewable,Karnataka,SolarinHybrid
01-03-2019,0,Renewable,Karnataka,SolarGroundSolar
