state,source,cagr
Andaman & Nicobar,Small Hydro,0.6153942662021781
Andaman & Nicobar,Solar Ground,0.38181796773348875
Andaman & Nicobar,Solar Ground Based,0.41421356237309515
Andaman & Nicobar,Solar Offgrid,0.9129311827723889
Andaman & Nicobar,Solar Rooftop,0.5848931924611136
Andaman & Nicobar,Thermal,0.49450869316745294
Andhra Pradesh,Bio Bagasse Cogen,0.5849351075461309
Andhra Pradesh,Bio Other Cogen,0.5848931924611134
Andhra Pradesh,Bio Waste,0.5758464072588341
Andhra Pradesh,Bio Waster Offgrid,1.1544346900318838
Andhra Pradesh,Hydro,0.6437518295172258
Andhra Pradesh,Natural Gas,0.643751829517226
Andhra Pradesh,Small Hydro,0.6153942662021781
Andhra Pradesh,Solar Ground,0.14937385633289368
Andhra Pradesh,Solar Ground Based,0.4131205949185235
Andhra Pradesh,Solar Offgrid,0.9129311827723892
Andhra Pradesh,Solar Rooftop,0.5048445258875325
Andhra Pradesh,Thermal,0.6437518295172258
Andhra Pradesh,Wind,0.6153942662021781
Arunachal Pradesh,Hydro,0.6437518295172258
Arunachal Pradesh,Small Hydro,0.614062652618045
Arunachal Pradesh,Solar Ground,0.18920711500272103
Arunachal Pradesh,Solar Ground Based,0.41421356237309515
Arunachal Pradesh,Solar Offgrid,0.8783403850913287
Arunachal Pradesh,Solar Rooftop,0.5848931924611136
Assam,Bio Other Cogen,0.7782794100389228
Assam,Hydro,0.6437518295172258
Assam,Natural Gas,0.6622006368005195
Assam,Small Hydro,0.6153942662021781
Assam,Solar Ground,0.4484754730216933
Assam,Solar Ground Based,0.41421356237309515
Assam,Solar Offgrid,0.9124485824232416
Assam,Solar Rooftop,0.5617909875185818
Assam,Thermal,0.6437518295172258
Bihar,Bio Bagasse Cogen,0.5855969641384411
Bihar,Bio Other Cogen,0.5848931924611136
Bihar,Bio Waster Offgrid,1.1190371439822067
Bihar,Small Hydro,0.6153942662021781
Bihar,Solar Ground,0.18920711500272103
Bihar,Solar Ground Based,0.41421356237309515
Bihar,Solar Offgrid,0.9107455615327413
Bihar,Solar Rooftop,0.5139013020986956
Bihar,Thermal,0.6401485126396462
Chandigarh,Solar Ground,0.18920711500272103
Chandigarh,Solar Ground Based,0.41421356237309515
Chandigarh,Solar Offgrid,0.9129311827723892
Chandigarh,Solar Rooftop,0.4950526756791378
Chhatisgarh,Bio Bagasse Cogen,0.5848931924611136
Chhatisgarh,Bio Other Cogen,0.5848931924611136
Chhatisgarh,Bio Waster Offgrid,1.1544346900318838
Chhatisgarh,Hydro,0.6437518295172258
Chhatisgarh,Small Hydro,0.6153942662021781
Chhatisgarh,Solar Ground,0.10543221263393043
Chhatisgarh,Solar Ground Based,0.3135760645539265
Chhatisgarh,Solar Offgrid,0.709250492061154
Chhatisgarh,Solar Rooftop,0.4221406436048998
Chhatisgarh,Thermal,0.6437518295172258
Dadar & Nagar Haveli,Solar Ground,0.18920711500272103
Dadar & Nagar Haveli,Solar Ground Based,0.41421356237309515
Dadar & Nagar Haveli,Solar Rooftop,0.5848931924611134
Daman & Diu,Solar Ground,0.18920711500272103
Daman & Diu,Solar Ground Based,0.41421356237309515
Daman & Diu,Solar Rooftop,0.5482755974859561
Delhi,Bio Waste,0.49437299039709104
Delhi,Natural Gas,0.6437518295172258
Delhi,Solar Ground,0.18920711500272103
Delhi,Solar Ground Based,0.41421356237309515
Delhi,Solar Offgrid,0.9129311827723889
Delhi,Solar Rooftop,0.5324787287968218
Delhi,Thermal,0.0
Goa,Bio Waste,0.7782794100389228
Goa,Natural Gas,0.6437518295172258
Goa,Small Hydro,0.6153942662021781
Goa,Solar Ground,0.18920711500272103
Goa,Solar Ground Based,0.41421356237309515
Goa,Solar Offgrid,0.9129311827723889
