state,avg_pct_change
Lakshadweep,
Goa,880.4013339933579
Uttar Pradesh,180.35894246829648
Jharkhand,62.26694720095104
Telangana,30.76103700745469
Haryana,16.131074577762043
Chhatisgarh,6.883680654782082
Chandigarh,1.3877787807814457e-15
Others,7.401486830834377e-16
Daman & Diu,0.0
Lakshwadeep,0.0
Dadar & Nagar Haveli,0.0
Punjab,-3.157226916030907
Assam,-3.299397626257299
Odisha,-8.052168102219447
West Bengal,-10.27397934331916
Bihar,-12.359028744328285
Ladakh,-12.699869667072228
Andaman & Nicobar,-13.411507495431517
Manipur,-13.54310565204292
Uttarakhand,-13.94858812939461
Kerala,-15.701209507295507
Rajasthan,-16.53063582339357
Madhya Pradesh,-18.688011370253122
Gujarat,-19.198694253085492
Delhi,-19.212007804976423
Tripura,-19.36973914926922
Andhra Pradesh,-19.408707168283197
Maharashtra,-19.788622076735244
Karnataka,-19.974207792387006
Meghalaya,-20.32255787363386
Jammu & Kashmir,-20.415686099375588
Tamil Nadu,-20.41572955417067
Mizoram,-20.636614997723708
Himachal Pradesh,-20.85120277888744
Nagaland,-20.975804635480102
Sikkim,-21.46762704792276
Arunachal Pradesh,-22.487795704338026
Pondicherry,-27.96604953933265
